Γùç injected env (2) from .env // tip: Γùê secrets for agents [www.dotenvx.com]
Server running on http://localhost:3000
2026-06-12T07:52:16.840Z - GET /src/pages/ActionPlan.tsx
2026-06-12T07:52:16.847Z - GET /src/pages/Insights.tsx
2026-06-12T07:52:16.848Z - GET /src/pages/FootprintBreakdown.tsx
2026-06-12T07:52:16.848Z - GET /src/pages/DetailedAnalysis.tsx
2026-06-12T07:52:16.848Z - GET /src/pages/Chat.tsx
2026-06-12T07:52:16.848Z - GET /src/pages/Login.tsx
2026-06-12T07:52:16.848Z - GET /src/pages/Leaderboard.tsx
[2m1:22:16 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:52:16.849Z - GET /src/pages/ActivityHistory.tsx
2026-06-12T07:52:16.850Z - GET /src/pages/Settings.tsx
2026-06-12T07:52:16.850Z - GET /src/store.ts
2026-06-12T07:52:16.851Z - GET /src/components/auth/AuthContext.tsx
2026-06-12T07:52:16.851Z - GET /src/components/layout/Sidebar.tsx
2026-06-12T07:52:16.851Z - GET /src/components/layout/MobileNav.tsx
2026-06-12T07:52:16.851Z - GET /src/components/ui/card.tsx
2026-06-12T07:52:16.851Z - GET /src/components/ui/button.tsx
2026-06-12T07:52:16.852Z - GET /src/components/ui/slider.tsx
2026-06-12T07:52:16.852Z - GET /src/components/ui/label.tsx
2026-06-12T07:52:16.853Z - GET /src/components/ui/progress.tsx
2026-06-12T07:52:16.853Z - GET /src/lib/report-generator.ts
2026-06-12T07:52:16.854Z - GET /src/components/layout/NotificationsPopover.tsx
2026-06-12T07:52:16.854Z - GET /src/components/dashboard/HabitManager.tsx
2026-06-12T07:52:16.854Z - GET /src/components/dashboard/ActionModal.tsx
2026-06-12T07:52:16.854Z - GET /src/lib/utils.ts
2026-06-12T07:52:16.855Z - GET /src/components/ui/dialog.tsx
2026-06-12T07:52:16.855Z - GET /src/lib/firebase.ts
2026-06-12T07:52:16.856Z - GET /src/lib/firestore-utils.ts
2026-06-12T07:52:16.856Z - GET /src/components/profile/ProfileModals.tsx
2026-06-12T07:52:16.857Z - GET /src/components/ui/input.tsx
2026-06-12T07:52:16.857Z - GET /src/components/settings/SettingsModals.tsx
2026-06-12T07:52:16.857Z - GET /src/types.ts
2026-06-12T07:52:16.860Z - GET /firebase-applet-config.json?import
2026-06-12T07:52:16.907Z - GET /chat
2026-06-12T07:52:16.961Z - GET /@vite/client
2026-06-12T07:52:16.961Z - GET /src/main.tsx?t=1781250736849
2026-06-12T07:52:16.961Z - GET /@react-refresh
[2m1:22:16 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:52:16.964Z - GET /node_modules/vite/dist/client/env.mjs
2026-06-12T07:52:16.964Z - GET /src/index.css?t=1781250736849
2026-06-12T07:52:16.965Z - GET /src/App.tsx
2026-06-12T07:52:17.015Z - GET /src/components/layout/AppLayout.tsx
2026-06-12T07:52:17.015Z - GET /src/components/onboarding/Onboarding.tsx
2026-06-12T07:52:17.015Z - GET /src/pages/Dashboard.tsx
2026-06-12T07:52:17.015Z - GET /src/pages/WhatIfSimulator.tsx
2026-06-12T07:52:17.015Z - GET /src/pages/Missions.tsx
2026-06-12T07:52:17.016Z - GET /src/pages/Profile.tsx
2026-06-12T07:52:17.017Z - GET /src/pages/ActionPlan.tsx
2026-06-12T07:52:17.018Z - GET /src/pages/Insights.tsx
2026-06-12T07:52:17.018Z - GET /src/pages/FootprintBreakdown.tsx
2026-06-12T07:52:17.018Z - GET /src/pages/DetailedAnalysis.tsx
2026-06-12T07:52:17.018Z - GET /src/pages/Chat.tsx
2026-06-12T07:52:17.019Z - GET /src/pages/Login.tsx
2026-06-12T07:52:17.020Z - GET /src/pages/Leaderboard.tsx
2026-06-12T07:52:17.020Z - GET /src/pages/ActivityHistory.tsx
2026-06-12T07:52:17.020Z - GET /src/pages/Settings.tsx
2026-06-12T07:52:17.020Z - GET /src/store.ts
2026-06-12T07:52:17.020Z - GET /src/components/auth/AuthContext.tsx
2026-06-12T07:52:17.023Z - GET /src/components/layout/Sidebar.tsx
2026-06-12T07:52:17.023Z - GET /src/components/layout/MobileNav.tsx
2026-06-12T07:52:17.023Z - GET /src/components/ui/card.tsx
2026-06-12T07:52:17.024Z - GET /src/components/ui/button.tsx
2026-06-12T07:52:17.024Z - GET /src/components/ui/slider.tsx
2026-06-12T07:52:17.024Z - GET /src/components/ui/label.tsx
2026-06-12T07:52:17.025Z - GET /src/components/ui/progress.tsx
2026-06-12T07:52:17.025Z - GET /src/lib/report-generator.ts
2026-06-12T07:52:17.025Z - GET /src/components/layout/NotificationsPopover.tsx
2026-06-12T07:52:17.025Z - GET /src/components/dashboard/HabitManager.tsx
2026-06-12T07:52:17.025Z - GET /src/components/dashboard/ActionModal.tsx
2026-06-12T07:52:17.026Z - GET /src/lib/utils.ts
2026-06-12T07:52:17.027Z - GET /src/components/ui/dialog.tsx
2026-06-12T07:52:17.027Z - GET /src/lib/firebase.ts
2026-06-12T07:52:17.027Z - GET /src/lib/firestore-utils.ts
2026-06-12T07:52:17.028Z - GET /src/components/profile/ProfileModals.tsx
2026-06-12T07:52:17.028Z - GET /src/components/ui/input.tsx
2026-06-12T07:52:17.028Z - GET /src/components/settings/SettingsModals.tsx
2026-06-12T07:52:17.029Z - GET /src/types.ts
2026-06-12T07:52:17.031Z - GET /firebase-applet-config.json?import
[2m1:22:17 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:52:17.158Z - GET /chat
2026-06-12T07:52:17.213Z - GET /@vite/client
2026-06-12T07:52:17.213Z - GET /src/main.tsx?t=1781250737088
2026-06-12T07:52:17.214Z - GET /@react-refresh
[2m1:22:17 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:52:17.224Z - GET /src/index.css?t=1781250737088
2026-06-12T07:52:17.224Z - GET /node_modules/vite/dist/client/env.mjs
2026-06-12T07:52:17.225Z - GET /src/App.tsx
2026-06-12T07:52:17.270Z - GET /src/components/layout/AppLayout.tsx
2026-06-12T07:52:17.270Z - GET /src/components/onboarding/Onboarding.tsx
2026-06-12T07:52:17.270Z - GET /src/pages/Dashboard.tsx
2026-06-12T07:52:17.271Z - GET /src/pages/WhatIfSimulator.tsx
2026-06-12T07:52:17.271Z - GET /src/pages/Missions.tsx
[2m1:22:17 pm[22m [36m[1m[vite][22m[39m [90m[2m(client)[22m[39m [32mpage reload [39m[2mserver-log.txt[22m
2026-06-12T07:52:17.273Z - GET /src/pages/Profile.tsx
2026-06-12T07:52:17.273Z - GET /src/pages/ActionPlan.tsx
2026-06-12T07:52:17.273Z - GET /src/pages/Insights.tsx
2026-06-12T07:52:17.273Z - GET /src/pages/FootprintBreakdown.tsx
2026-06-12T07:52:17.273Z - GET /src/pages/DetailedAnalysis.tsx
2026-06-12T07:52:17.274Z - GET /src/pages/Chat.tsx
2026-06-12T07:52:17.275Z - GET /src/pages/Login.tsx
2026-06-12T07:52:17.275Z - GET /src/pages/Leaderboard.tsx
2026-06-12T07:52:17.276Z - GET /src/pages/ActivityHistory.tsx
2026-06-12T07:52:17.277Z - GET /src/pages/Settings.tsx
2026-06-12T07:52:17.277Z - GET /src/store.ts
2026-06-12T07:52:17.277Z - GET /src/components/auth/AuthContext.tsx
2026-06-12T07:52:17.278Z - GET /src/components/layout/Sidebar.tsx
2026-06-12T07:52:17.278Z - GET /src/components/layout/MobileNav.tsx
2026-06-12T07:52:17.278Z - GET /src/components/ui/card.tsx
2026-06-12T07:52:17.279Z - GET /src/components/ui/button.tsx
2026-06-12T07:52:17.279Z - GET /src/components/ui/slider.tsx
2026-06-12T07:52:17.279Z - GET /src/components/ui/label.tsx
2026-06-12T07:52:17.280Z - GET /src/components/ui/progress.tsx
2026-06-12T07:52:17.280Z - GET /src/lib/report-generator.ts
2026-06-12T07:52:17.280Z - GET /src/components/layout/NotificationsPopover.tsx
2026-06-12T07:52:17.281Z - GET /src/components/dashboard/HabitManager.tsx
2026-06-12T07:52:17.281Z - GET /src/components/dashboard/ActionModal.tsx
2026-06-12T07:52:17.282Z - GET /src/lib/utils.ts
2026-06-12T07:52:17.282Z - GET /src/components/ui/dialog.tsx
2026-06-12T07:52:17.282Z - GET /src/lib/firebase.ts
2026-06-12T07:52:17.282Z - GET /src/lib/firestore-utils.ts
